iter	Passed	Remaining
873	19463	91885
874	19485	91861
875	19508	91840
876	19531	91820
877	19554	91804
878	19577	91786
879	19599	91761
880	19623	91745
881	19648	91736
882	19670	91713
883	19691	91685
884	19712	91659
885	19733	91631
886	19754	91600
887	19776	91578
888	19799	91557
889	19826	91559
890	19853	91559
891	19879	91553
892	19905	91546
893	19926	91521
894	19964	91568
895	19986	91546
896	20008	91521
897	20029	91495
898	20053	91480
899	20082	91486
900	20107	91477
901	20130	91456
902	20153	91436
903	20174	91408
904	20196	91386
905	20218	91362
906	20238	91332
907	20261	91309
908	20282	91282
909	20306	91267
910	20331	91255
911	20355	91243
912	20378	91225
913	20401	91202
914	20423	91180
915	20447	91166
916	20471	91152
917	20495	91136
918	20517	91113
919	20541	91098
920	20565	91084
921	20588	91063
922	20612	91046
923	20633	91019
924	20656	90998
925	20681	90990
926	20705	90975
927	20731	90969
928	20756	90955
929	20777	90929
930	20799	90904
931	20821	90883
932	20843	90856
933	20864	90829
934	20885	90803
935	20906	90773
936	20927	90743
937	20949	90720
938	20971	90696
939	20992	90671
940	21013	90642
941	21035	90619
942	21057	90594
943	21088	90611
944	21112	90591
945	21133	90564
946	21155	90541
947	21178	90522
948	21199	90496
949	21222	90473
950	21243	90448
951	21265	90421
952	21287	90397
953	21308	90371
954	21329	90341
955	21350	90315
956	21380	90326
957	21402	90302
958	21423	90274
959	21444	90245
960	21466	90220
961	21490	90206
962	21511	90180
963	21534	90159
964	21556	90134
965	21577	90108
966	21599	90082
967	21622	90065
968	21645	90045
969	21669	90026
970	21692	90010
971	21715	89991
972	21739	89974
973	21762	89952
974	21784	89929
975	21808	89915
976	21832	89900
977	21854	89876
978	21875	89849
979	21897	89825
980	21919	89801
981	21943	89786
982	21966	89765
983	21988	89742
984	22009	89715
985	22033	89698
986	22057	89681
987	22079	89659
988	22109	89667
989	22130	89639
990	22152	89616
991	22174	89592
992	22196	89567
993	22218	89545
994	22240	89522
995	22262	89498
996	22285	89475
997	22308	89456
998	22329	89430
999	22352	89409
1000	22374	89384
1001	22395	89357
1002	22416	89331
1003	22438	89306
1004	22460	89282
1005	22481	89254
1006	22502	89227
1007	22525	89208
1008	22549	89192
1009	22572	89171
1010	22593	89144
1011	22615	89121
1012	22636	89092
1013	22657	89064
1014	22677	89035
1015	22698	89008
1016	22720	88981
1017	22741	88955
1018	22762	88928
1019	22784	88903
1020	22808	88889
1021	22830	88862
1022	22850	88835
1023	22872	88808
1024	22893	88781
1025	22914	88753
1026	22935	88725
1027	22956	88697
1028	22977	88671
1029	22997	88642
1030	23018	88614
1031	23041	88592
1032	23062	88567
1033	23086	88550
1034	23113	88546
1035	23135	88520
1036	23156	88495
1037	23177	88467
1038	23198	88439
1039	23220	88414
1040	23242	88391
1041	23263	88365
1042	23285	88340
1043	23306	88316
1044	23327	88288
1045	23349	88263
1046	23381	88278
1047	23403	88255
1048	23426	88235
1049	23448	88212
1050	23471	88190
1051	23493	88167
1052	23514	88140
1053	23537	88122
1054	23560	88102
1055	23583	88080
1056	23613	88088
1057	23667	88184
1058	23700	88200
1059	23725	88187
1060	23749	88172
1061	23772	88150
1062	23795	88130
1063	23819	88113
1064	23842	88093
1065	23864	88070
1066	23885	88044
1067	23907	88019
1068	23928	87991
1069	23950	87968
1070	23974	87949
1071	23996	87927
1072	24020	87909
1073	24043	87891
1074	24064	87864
1075	24086	87839
1076	24107	87811
1077	24138	87821
1078	24159	87793
1079	24180	87765
1080	24201	87737
1081	24222	87712
1082	24244	87688
1083	24267	87667
1084	24291	87651
1085	24315	87633
1086	24337	87609
1087	24359	87586
1088	24380	87559
1089	24401	87533
1090	24423	87508
1091	24444	87482
1092	24466	87455
1093	24487	87430
1094	24508	87402
1095	24530	87379
1096	24554	87361
1097	24577	87342
1098	24598	87313
1099	24619	87286
1100	24640	87261
1101	24664	87241
1102	24687	87223
1103	24708	87195
1104	24730	87172
1105	24752	87147
1106	24786	87166
1107	24808	87144
1108	24831	87121
1109	24854	87100
1110	24876	87080
1111	24898	87053
1112	24919	87026
1113	24940	87000
1114	24960	86969
1115	24981	86942
1116	25002	86915
1117	25023	86889
1118	25046	86867
1119	25066	86837
1120	25088	86813
1121	25108	86783
1122	25138	86786
1123	25160	86761
1124	25180	86732
1125	25201	86704
1126	25222	86678
1127	25243	86651
1128	25265	86627
1129	25288	86607
1130	25309	86580
1131	25330	86553
1132	25351	86527
1133	25372	86498
1134	25392	86469
1135	25414	86445
1136	25435	86417
1137	25456	86391
1138	25477	86364
1139	25499	86339
1140	25521	86315
1141	25542	86290
1142	25564	86267
1143	25584	86237
1144	25605	86208
1145	25626	86182
1146	25647	86155
1147	25668	86128
1148	25688	86099
1149	25710	86074
